date,tempC,tempF,humid,heatindex
20120325,3.6,38.5,37.4,3.63
20120326,3.7,38.7,37.7,3.7
20120327,6.1,42.9,55.3,6.06
20120328,10.1,50.2,57.7,10.1
20120329,11.4,52.5,54.8,11.38
20120330,9.6,49.3,77.2,9.59
20120331,5.8,42.4,36.5,5.79
20120401,4.5,40.1,28,4.49
20120402,7.8,46.1,52.4,7.83
20120403,5.3,41.6,69.9,5.33
20120404,6.9,44.5,58.5,6.93
20120405,6.9,44.4,43.9,6.86
20120406,5.5,41.9,42.5,5.51
20120407,5.7,42.2,36.1,5.66
20120408,10.6,51.1,45.2,10.62
20120409,15.2,59.4,57,15.21
20120410,13.7,56.7,80.7,13.73
20120411,12.4,54.3,75.6,12.38
20120412,9,48.3,48.7,9.05
20120413,10.3,50.5,50,10.28
20120414,10.4,50.7,68.9,10.39
20120415,13.2,55.8,57,13.2
20120416,11.9,53.4,59.5,11.89
20120417,13.5,56.3,37.8,13.48
20120418,14.9,58.9,33,14.94
20120419,16.8,62.3,34,16.84
20120420,18.4,65,39.3,18.35
20120421,11.8,53.3,68.7,11.83
20120422,9.4,49,90.8,9.44
20120423,12.5,54.4,82.6,12.47
20120424,19.2,66.6,62.5,19.21
20120425,16,60.8,69.3,16
20120426,11.9,53.4,55.6,11.88
20120427,14.8,58.7,34.7,14.82
20120428,17,62.6,39.2,17.01
20120429,19.6,67.2,56.8,19.55
20120430,22.7,72.8,44.6,22.69
20120501,22.6,72.7,45.6,22.61
20120502,23.3,74,47,23.32
20120503,20.4,68.6,52.8,20.36
20120504,19.7,67.4,49.5,19.68
20120505,18.6,65.5,43.9,18.63
20120506,18.1,64.6,30.9,18.13
20120507,18.2,64.8,34.3,18.22
20120508,20.7,69.2,28.4,20.68
20120509,20.6,69,43.5,20.55
20120510,20.4,68.7,44.6,20.4
20120511,16.2,61.2,54.7,16.2
20120512,17.1,62.7,57.1,17.07
20120513,19,66.3,54,19.03
20120514,16.2,61.1,77.1,16.19
20120515,17.1,62.8,65.9,17.11
20120516,16.5,61.7,59.8,16.5
20120517,16.5,61.7,54.7,16.48
20120518,18.1,64.5,52.5,18.07
20120519,19.3,66.7,39.1,19.3
20120520,21.2,70.2,37.3,21.22
20120521,22.9,73.2,35.5,22.89
20120522,23.3,73.9,34.8,23.28
20120523,22.4,72.3,38.3,22.38
20120524,19.8,67.6,51.8,19.75
20120525,20.6,69.1,44.6,20.58
20120526,19.6,67.3,43.8,19.63
20120527,19.5,67.1,62.5,19.53
20120528,20.7,69.3,59.8,20.7
20120529,21.7,71.1,39.8,21.72
20120530,20.8,69.5,44.2,20.82
20120531,20.9,69.7,56.6,20.93
20120601,21.2,70.1,53.5,21.18
20120602,23,73.3,45.1,22.97
20120603,23.4,74.1,38.9,23.4
20120604,23.6,74.5,35.8,23.59
20120605,22.7,72.8,59,22.67
20120606,23.1,73.6,62.6,23.1
20120607,23,73.5,62.7,23.05
20120608,22.4,72.3,65.6,22.4
20120609,23.9,74.9,61.9,23.85
20120610,23.8,74.9,58.4,23.83
20120611,23.3,74,60.1,23.33
20120612,22.9,73.2,58.2,22.88
20120613,22.9,73.2,54.5,22.88
20120614,24.8,76.6,49.2,24.75
20120615,23.8,74.8,53,23.76
20120616,23.8,74.8,58.7,23.78
20120617,23.6,74.4,53.7,23.56
20120618,24.7,76.4,47,24.69
20120619,26.1,79,44.9,26.11
20120620,25.6,78,46.8,25.56
20120621,25.7,78.2,56.5,25.68
20120622,24.4,75.9,61.1,24.36
20120623,26.1,79,57.2,26.09
20120624,27.8,82,48.6,28.1
20120625,26.7,80,40.8,26.67
20120626,24.7,76.4,44.9,24.65
20120627,24.6,76.2,47.2,24.57
20120628,25.3,77.5,50.5,25.26
20120629,26.2,79.2,57.2,26.25
20120630,22.1,71.7,88.5,22.06
20120701,21.4,70.5,81.6,21.4
20120702,24,75.2,63,23.98
20120703,22.8,73,76.3,22.75
20120704,24.2,75.6,80.5,24.22
20120705,22.9,73.2,88.8,22.88
20120706,21,69.7,89.2,20.96
20120707,24.5,76,63.6,24.45
20120708,25.8,78.4,63.7,25.79
20120709,26.1,79,64.6,26.09
20120710,26.3,79.4,65.9,26.35
20120711,23.4,74.1,83.6,23.39
20120712,24.4,75.9,72.5,24.36
20120713,26.1,79,75.8,26.11
20120714,23.3,73.9,80.8,23.25
20120715,19.8,67.6,89.3,19.78
20120716,21.7,71,81,21.65
20120717,25.1,77.3,71.9,25.14
20120718,26.1,79,79.3,26.09
20120719,24,75.2,85.3,23.99
20120720,25.4,77.6,75,25.35
20120721,27.4,81.4,67.6,29.34
20120722,27.1,80.7,75.3,29.41
20120723,27.6,81.7,73.8,30.42
20120724,28,82.4,71.5,30.83
20120725,27.9,82.2,69,30.28
20120726,28.2,82.7,62.9,30.07
20120727,27.9,82.2,67.7,30.21
20120728,28.4,83.1,67.8,31.13
20120729,29.2,84.5,67,32.54
20120730,28.1,82.6,73.2,31.34
20120731,29,84.2,68,32.32
20120801,30.7,87.3,57.8,33.75
20120802,30.7,87.3,52.8,32.68
20120803,31.2,88.2,52.4,33.49
20120804,31.7,89,50.4,33.83
20120805,31.8,89.2,50.8,34.16
20120806,31.5,88.8,53.8,34.41
20120807,30.7,87.2,49,31.87
20120808,29.7,85.4,50,30.55
20120809,29.6,85.3,62.6,32.64
20120810,27.5,81.6,69.2,29.7
20120811,27.5,81.5,65.7,29.25
20120812,25.8,78.4,78.9,25.75
20120813,26.5,79.7,66.3,26.48
20120814,26.8,80.3,61.9,28.01
20120815,24,75.1,87.4,23.96
20120816,25.7,78.3,70,25.74
20120817,27.4,81.2,73.9,29.88
20120818,27.2,81,80.5,30.31
20120819,27.9,82.2,76,31.26
20120820,25.5,77.9,86.9,25.48
20120821,25.4,77.7,84.4,25.41
20120822,22.3,72.1,81.7,22.28
20120823,22.7,72.9,69.6,22.75
20120824,23.3,73.9,68.1,23.3
20120825,24.7,76.5,81,24.72
20120826,27.4,81.2,73.2,29.8
20120827,28.4,83.2,60.8,30.21
20120828,26.7,80.1,65.7,28.07
20120829,25.5,77.9,71.1,25.49
20120830,21.7,71,87.5,21.68
20120831,23.6,74.4,64.2,23.55
20120901,25.3,77.5,69.5,25.27
20120902,24.9,76.7,64.3,24.85
20120903,25,77.1,71.5,25.03
20120904,22.2,72,82.5,22.2
20120905,22.4,72.3,64.7,22.37
20120906,21.5,70.6,51.2,21.47
20120907,22.4,72.3,59.3,22.41
20120908,20.2,68.4,73,20.2
20120909,20.7,69.2,68,20.68
20120910,22.9,73.2,63.8,22.87
20120911,22.9,73.2,51.8,22.9
20120912,21.4,70.6,68.5,21.44
20120913,20,68,85.9,19.99
20120914,19.3,66.8,70.3,19.33
